Geographic Area,Estimates Base
".Adair County, Iowa","7,497"
".Adams County, Iowa","3,707"
".Allamakee County, Iowa","14,064"
".Appanoose County, Iowa","12,316"
".Audubon County, Iowa","5,676"
".Benton County, Iowa","25,584"
".Black Hawk County, Iowa","131,143"
".Boone County, Iowa","26,709"
".Bremer County, Iowa","24,990"
".Buchanan County, Iowa","20,562"
".Buena Vista County, Iowa","20,825"
".Butler County, Iowa","14,335"
".Calhoun County, Iowa","9,931"
".Carroll County, Iowa","20,759"
".Cass County, Iowa","13,134"
".Cedar County, Iowa","18,500"
".Cerro Gordo County, Iowa","43,129"
".Cherokee County, Iowa","11,657"
".Chickasaw County, Iowa","12,011"
".Clarke County, Iowa","9,754"
".Clay County, Iowa","16,380"
".Clayton County, Iowa","17,047"
".Clinton County, Iowa","46,459"
".Crawford County, Iowa","16,519"
".Dallas County, Iowa","99,732"
".Davis County, Iowa","9,109"
".Decatur County, Iowa","7,640"
".Delaware County, Iowa","17,484"
".Des Moines County, Iowa","38,910"
".Dickinson County, Iowa","17,703"
".Dubuque County, Iowa","99,275"
".Emmet County, Iowa","9,393"
".Fayette County, Iowa","19,510"
".Floyd County, Iowa","15,638"
".Franklin County, Iowa","10,019"
".Fremont County, Iowa","6,600"
".Greene County, Iowa","8,764"
".Grundy County, Iowa","12,326"
".Guthrie County, Iowa","10,621"
".Hamilton County, Iowa","15,037"
".Hancock County, Iowa","10,789"
".Hardin County, Iowa","16,879"
".Harrison County, Iowa","14,582"
".Henry County, Iowa","20,482"
".Howard County, Iowa","9,465"
".Humboldt County, Iowa","9,599"
".Ida County, Iowa","7,003"
".Iowa County, Iowa","16,665"
".Jackson County, Iowa","19,485"
".Jasper County, Iowa","37,805"
".Jefferson County, Iowa","15,665"
".Johnson County, Iowa","152,862"
".Jones County, Iowa","20,644"
".Keokuk County, Iowa","10,026"
".Kossuth County, Iowa","14,826"
".Lee County, Iowa","33,559"
".Linn County, Iowa","230,296"
".Louisa County, Iowa","10,830"
".Lucas County, Iowa","8,633"
".Lyon County, Iowa","11,936"
".Madison County, Iowa","16,546"
".Mahaska County, Iowa","22,190"
".Marion County, Iowa","33,418"
".Marshall County, Iowa","40,106"
".Mills County, Iowa","14,483"
".Mitchell County, Iowa","10,570"
".Monona County, Iowa","8,753"
".Monroe County, Iowa","7,570"
".Montgomery County, Iowa","10,329"
".Muscatine County, Iowa","43,240"
".O'Brien County, Iowa","14,181"
".Osceola County, Iowa","6,191"
".Page County, Iowa","15,207"
".Palo Alto County, Iowa","8,994"
".Plymouth County, Iowa","25,699"
".Pocahontas County, Iowa","7,075"
".Polk County, Iowa","492,410"
".Pottawattamie County, Iowa","93,666"
".Poweshiek County, Iowa","18,659"
".Ringgold County, Iowa","4,660"
".Sac County, Iowa","9,822"
".Scott County, Iowa","174,671"
".Shelby County, Iowa","11,760"
".Sioux County, Iowa","35,863"
".Story County, Iowa","98,533"
".Tama County, Iowa","17,133"
".Taylor County, Iowa","5,893"
".Union County, Iowa","12,142"
".Van Buren County, Iowa","7,206"
".Wapello County, Iowa","35,436"
".Warren County, Iowa","52,398"
".Washington County, Iowa","22,566"
".Wayne County, Iowa","6,502"
".Webster County, Iowa","37,002"
".Winnebago County, Iowa","10,683"
".Winneshiek County, Iowa","20,064"
".Woodbury County, Iowa","105,939"
".Worth County, Iowa","7,445"
".Wright County, Iowa","12,942"